dataset,hidden_layers,lambda,mean_accuracy,std_accuracy,mean_f1,std_f1
Loan,[8],0.0,0.7452889310906131,0.09563336792036334,0.8124373583412752,0.09803619175702988
Loan,[8],0.01,0.7621310363537711,0.0772178829151104,0.8288018276217862,0.0761184030941142
Loan,[8],0.1,0.7432709350696328,0.09045620267406598,0.8192430398348873,0.08313414545079832
Loan,[16],0.0,0.7437269397721107,0.04747627472210743,0.825002806878147,0.03525206955648444
Loan,[16],0.01,0.7626743081931633,0.049088880290609246,0.8391005839199981,0.03832301281929813
Loan,[16],0.1,0.766710752396455,0.043321178268863635,0.847835974083973,0.031193676649364163
Loan,"[8, 8]",0.0,0.7395387954422138,0.05404979497569267,0.8182721677037776,0.04326558296109188
Loan,"[8, 8]",0.01,0.7290124796527402,0.06892754128309095,0.806458380000484,0.061663090368083553
Loan,"[8, 8]",0.1,0.6676331615120275,0.18799843341611938,0.6747658946615852,0.3385480141212743
Loan,"[16, 8]",0.0,0.7687305570627601,0.018085799867245057,0.8447927404079115,0.015489820278746031
Loan,"[16, 8]",0.01,0.7813182763610056,0.013587866518839857,0.8544754240363488,0.012507992684200516
Loan,"[16, 8]",0.1,0.7434230873575691,0.04193963270209042,0.8375758201845158,0.015823891785634734
Loan,[32],0.0,0.711843687827817,0.1179026629888071,0.7606800680194016,0.1699435895357872
Loan,[32],0.01,0.6886643154277448,0.17209849194712956,0.7066675290079545,0.28430451121557293
Loan,[32],0.1,0.6823700036172907,0.19238231298797948,0.6841306203548787,0.34301197684033713
Loan,"[4, 4, 4]",0.0,0.7793852866702838,0.07270948638762295,0.85223401362147,0.05489660841104469
Loan,"[4, 4, 4]",0.01,0.7624997739193343,0.0765332353166714,0.8457153231736612,0.052982456543086004
Loan,"[4, 4, 4]",0.1,0.6916833966359197,0.0027567292594058673,0.8177425418146521,0.0019271263710505273
