dataset,hidden_layers,lambda,mean_accuracy,std_accuracy,mean_f1,std_f1
Raisin,[8],0.0,0.8644444444444446,0.017427096823731225,0.8547414477938384,0.02141219499108841
Raisin,[8],0.01,0.8633333333333333,0.019436506316151014,0.8531805017069626,0.024634466484624085
Raisin,[8],0.1,0.86,0.025915341754868024,0.8507125870220669,0.031150192335415154
Raisin,[16],0.0,0.8633333333333333,0.023465235646603196,0.8606812185610646,0.025670161819694365
Raisin,[16],0.01,0.8644444444444446,0.01975154314959018,0.8615406257016993,0.022790034826925543
Raisin,[16],0.1,0.8588888888888888,0.024494897427831806,0.8573153434618291,0.027361754031858896
Raisin,"[8, 8]",0.0,0.8566666666666667,0.026387426860084256,0.8545520547071579,0.026566974918754344
Raisin,"[8, 8]",0.01,0.86,0.026851213274654593,0.8578544282881693,0.026688762144136378
Raisin,"[8, 8]",0.1,0.857777777777778,0.024745619390355675,0.8552781985332526,0.023877887061141113
Raisin,"[16, 8]",0.0,0.8666666666666668,0.01956312984628777,0.8634144636729536,0.019258074790274693
Raisin,"[16, 8]",0.01,0.8677777777777778,0.01905158688831358,0.8643529288665863,0.019119085532841976
Raisin,"[16, 8]",0.1,0.8633333333333333,0.0226623089493013,0.8606710546407246,0.02113730606406729
Raisin,[32],0.0,0.8544444444444445,0.028846122190549245,0.8604167949275278,0.022514532247338823
Raisin,[32],0.01,0.8588888888888888,0.0261996136056702,0.8640330726550497,0.0204127783814568
Raisin,[32],0.1,0.8411111111111111,0.03344425987398314,0.847676384647891,0.026783399287830256
Raisin,"[4, 4, 4]",0.0,0.8622222222222222,0.025190631219454734,0.8566052910902467,0.026569793958404062
Raisin,"[4, 4, 4]",0.01,0.8644444444444443,0.028240588949197398,0.8593927938503343,0.02918938070393315
Raisin,"[4, 4, 4]",0.1,0.8522222222222222,0.020667861375264756,0.8458956230509347,0.025804266161474382
