dataset,hidden_layers,lambda,mean_accuracy,std_accuracy,mean_f1,std_f1
Titanic,[8],0.0,0.8185424998413,0.02466191604445264,0.7530330221679608,0.035458912763482064
Titanic,[8],0.01,0.818548847838507,0.028659069517585234,0.7528760240655401,0.04226253282227126
Titanic,[8],0.1,0.7982606487653146,0.03352432558445501,0.7311076889106678,0.041955463214043774
Titanic,[16],0.0,0.793747222751222,0.028183094468084684,0.7121154028419537,0.015216389028891253
Titanic,[16],0.01,0.7903700882371613,0.029630827200723967,0.7073890035181731,0.02048144931782001
Titanic,[16],0.1,0.7881102012315114,0.02724946400707538,0.7042698398844702,0.029460834148970463
Titanic,"[8, 8]",0.0,0.8061575572906747,0.03408846956532376,0.7373860484338481,0.032614929163660836
Titanic,"[8, 8]",0.01,0.8027994667682347,0.04065089092698239,0.7352387721901424,0.04191581411662004
Titanic,"[8, 8]",0.1,0.7960261537484923,0.03816881644450949,0.7290634212262679,0.03539871402947472
Titanic,"[16, 8]",0.0,0.8061385132990541,0.03282307690768118,0.7482889226365221,0.03427798278306664
Titanic,"[16, 8]",0.01,0.806151209293468,0.03275416220948248,0.7495860555354823,0.036475678355983365
Titanic,"[16, 8]",0.1,0.783590427220212,0.02684643296065213,0.7228119879538779,0.022156356290734255
Titanic,[32],0.0,0.7825176156922491,0.05455245499753131,0.7351476814733505,0.049334950338471656
Titanic,[32],0.01,0.8128927823271758,0.026755825511881465,0.7629893146931954,0.03842257071839266
Titanic,[32],0.1,0.7937345267568083,0.023924704584470043,0.7390589897066743,0.024613342246211697
Titanic,"[4, 4, 4]",0.0,0.7949089062400813,0.04056471344783994,0.6549583818815946,0.0858448691431581
Titanic,"[4, 4, 4]",0.01,0.7949025582428744,0.03965486902086693,0.6550038608648234,0.0842266924982663
Titanic,"[4, 4, 4]",0.1,0.7656509871135656,0.07859477773346107,0.5464103144045008,0.27670110048952024
