dataset,hidden_layers,lambda,mean_accuracy,std_accuracy,mean_f1,std_f1
WDBC,[8],0.0,0.9700038476337053,0.01913708882447587,0.9762419729102584,0.015087007003452698
WDBC,[8],0.01,0.9700038476337053,0.01913708882447587,0.9762419729102584,0.015087007003452698
WDBC,[8],0.1,0.9736052327818392,0.005696785206627347,0.9791156640378242,0.004457681950757396
WDBC,[16],0.0,0.9718045402077722,0.01809272417154837,0.9774023335431993,0.014527035599117367
WDBC,[16],0.01,0.9718045402077722,0.01809272417154837,0.9774023335431993,0.014527035599117367
WDBC,[16],0.1,0.9735744517121969,0.009807116403813192,0.9791535706565953,0.007522947881437145
WDBC,"[8, 8]",0.0,0.9682954982685649,0.014474550488513383,0.9747222564345852,0.011705894144621167
WDBC,"[8, 8]",0.01,0.9682954982685649,0.014474550488513383,0.9747222564345852,0.011705894144621167
WDBC,"[8, 8]",0.1,0.9753443632166217,0.010405481292938692,0.9805528475439731,0.008052954887509362
WDBC,"[16, 8]",0.0,0.9718353212774143,0.01714570510975459,0.9775996225996225,0.013512678011458404
WDBC,"[16, 8]",0.01,0.9718045402077722,0.020447100235078435,0.9775607725607726,0.01616353190541492
WDBC,"[16, 8]",0.1,0.975375144286264,0.006666251640288351,0.9804163023413972,0.005290361490800967
WDBC,[32],0.0,0.9718353212774143,0.01620645971135314,0.9774837888113286,0.012933943750849036
WDBC,[32],0.01,0.9700654097729895,0.01822391401991867,0.9761252831675368,0.014485861014560598
WDBC,[32],0.1,0.9753135821469797,0.015286559129577677,0.9804764816173475,0.011969383294258019
WDBC,"[4, 4, 4]",0.0,0.9682647171989226,0.02353220323445799,0.9745854145854146,0.018954037292489973
WDBC,"[4, 4, 4]",0.01,0.9717737591381301,0.022673888329570163,0.9774835093984031,0.018117826295577195
WDBC,"[4, 4, 4]",0.1,0.9718045402077722,0.013107152700569702,0.9778309442985413,0.009983168025099578
