mean_acc,std_acc,mean_f1,std_f1,model,k,n_trees,criterion,config,layer_sizes,lam
0.9494444444444445,0.04475240527365851,0.9653645511473655,0.03199264385010845,knn,1.0,,,,,
0.9180701754385966,0.06409151296490166,0.9451710380728736,0.04427835348590845,knn,3.0,,,,,
0.913888888888889,0.09976051570549922,0.9424140064504358,0.06861299131054534,knn,5.0,,,,,
0.9183333333333333,0.08731417658146223,0.9467744068953747,0.057876424652022244,knn,7.0,,,,,
0.9027777777777779,0.09156560085129818,0.9384342591656274,0.05784101246757499,knn,9.0,,,,,
0.887251461988304,0.07734481346741234,0.9298285459339409,0.046108205192717154,knn,11.0,,,,,
0.855877192982456,0.0634605928524398,0.9113548302828057,0.0373762399913425,knn,15.0,,,,,
0.9180701754385965,0.07309097027242645,0.9457993449511803,0.0499668607421878,random_forest,,10.0,info_gain,,,
0.9230701754385965,0.03394142424448618,0.950402048719624,0.021335016327179348,random_forest,,30.0,info_gain,,,
0.9230701754385965,0.06623132326157133,0.9501314732418737,0.043821399507869827,random_forest,,50.0,info_gain,,,
0.928888888888889,0.0683942817622773,0.9549539170506913,0.04319012872038463,random_forest,,75.0,info_gain,,,
0.928888888888889,0.0683942817622773,0.9549539170506913,0.04319012872038463,random_forest,,100.0,info_gain,,,
0.9183333333333333,0.0749917690956732,0.9478766089305577,0.048327546921062704,random_forest,,150.0,info_gain,,,
0.9183333333333333,0.07320063751999248,0.9460218143616365,0.050059023799551725,random_forest,,10.0,gini,,,
0.9130701754385966,0.059274140976619163,0.9439504358163981,0.03792780523366265,random_forest,,30.0,gini,,,
0.928625730994152,0.060558153335159806,0.9540997272101277,0.039698692095177186,random_forest,,50.0,gini,,,
0.9238888888888889,0.07868714422741917,0.9513248847926267,0.050638194905873096,random_forest,,75.0,gini,,,
0.9238888888888889,0.07868714422741917,0.9513248847926267,0.050638194905873096,random_forest,,100.0,gini,,,
0.9183333333333333,0.0749917690956732,0.9478766089305577,0.048327546921062704,random_forest,,150.0,gini,,,
0.8466959064327486,0.07326823196674657,0.9005778145349892,0.04798586786314706,neural_network,,,,"[8], lam=0.0",[8],0.0
0.8466959064327486,0.07326823196674657,0.9005778145349892,0.04798586786314706,neural_network,,,,"[8], lam=0.01",[8],0.01
0.8616959064327487,0.06702504474113037,0.9109261392729134,0.04131712504692618,neural_network,,,,"[16], lam=0.0",[16],0.0
0.8616959064327487,0.06702504474113037,0.9109261392729134,0.04131712504692618,neural_network,,,,"[16], lam=0.01",[16],0.01
0.8411403508771931,0.06159938820920796,0.8980746695832902,0.03789823406639568,neural_network,,,,"[8, 8], lam=0.01","[8, 8]",0.01
0.8361403508771931,0.05413767760553308,0.8918679707389385,0.03791612546543231,neural_network,,,,"[16, 8], lam=0.1","[16, 8]",0.1
