mean_acc,std_acc,mean_f1,std_f1,model,k,n_trees,criterion,config,layer_sizes,lam
0.8876640419947508,0.020425277121620695,0.901409457742318,0.017804000046497213,knn,1.0,,,,,
0.9076115485564304,0.020016457705971255,0.9193608193496658,0.01736767069309721,knn,3.0,,,,,
0.9173228346456692,0.019789747764980912,0.9277658929090862,0.017291631945155723,knn,5.0,,,,,
0.9228346456692913,0.016483273982265186,0.9327658148018181,0.014362926391927022,knn,7.0,,,,,
0.9241469816272966,0.01661854710580236,0.9340445263945591,0.014321300007996798,knn,9.0,,,,,
0.9236220472440945,0.01722912696301976,0.9334123968668842,0.0148757129353677,knn,11.0,,,,,
0.9251968503937007,0.01796510756813397,0.9348611911314352,0.015619293357356838,knn,15.0,,,,,
0.9149606299212598,0.0186407148604354,0.9248001408442859,0.016514727407060382,random_forest,,10.0,info_gain,,,
0.9209973753280842,0.017857415950838916,0.9308951116467057,0.01544176363063,random_forest,,30.0,info_gain,,,
0.9207349081364831,0.017947843566696875,0.9308522749330723,0.015576639444471092,random_forest,,50.0,info_gain,,,
0.921259842519685,0.017050269573660588,0.9313581024126363,0.01472977616032375,random_forest,,75.0,info_gain,,,
0.920997375328084,0.01890674904299423,0.9311081310034108,0.016399741666577438,random_forest,,100.0,info_gain,,,
0.9230971128608925,0.017957436727661237,0.9329891326673805,0.015596571598447226,random_forest,,150.0,info_gain,,,
0.9112860892388452,0.020391521889296618,0.9216786183476714,0.017917847590418087,random_forest,,10.0,gini,,,
0.920997375328084,0.018649951625711855,0.9308444280876277,0.016232329279712042,random_forest,,30.0,gini,,,
0.9236220472440945,0.018501610024752868,0.9335393154961388,0.01588088465562759,random_forest,,50.0,gini,,,
0.9220472440944881,0.018223995104293886,0.9320786966916195,0.015658455017590764,random_forest,,75.0,gini,,,
0.9230971128608925,0.01837457808208624,0.932981399688215,0.01588827269586535,random_forest,,100.0,gini,,,
0.9228346456692915,0.017338734451353015,0.932707715284218,0.014963478734455951,random_forest,,150.0,gini,,,
0.9278215223097114,0.01669299592247544,0.937134701417152,0.014432572911354519,neural_network,,,,"[8], lam=0.0",[8],0.0
0.9283464566929135,0.017132896504322932,0.9376015792400263,0.014772802676786522,neural_network,,,,"[8], lam=0.01",[8],0.01
0.9291338582677167,0.017645917389996445,0.9381571780751798,0.015258630120504327,neural_network,,,,"[16], lam=0.01",[16],0.01
0.9280839895013123,0.017731596592183235,0.9372500621052546,0.015276697290756452,neural_network,,,,"[16], lam=0.1",[16],0.1
0.9299212598425198,0.01749103105674136,0.9389427998163805,0.014991972967723166,neural_network,,,,"[16, 8], lam=0.01","[16, 8]",0.01
0.9280839895013125,0.017219128049193413,0.9371792833147774,0.01489280352348101,neural_network,,,,"[8, 8], lam=0.1","[8, 8]",0.1
